id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1445220435193257993,1445220413550649344,2021-10-05 02:52:57 UTC,2021-10-05,02:52:57,+0000,43074696,greenpeaceid,Greenpeace Indonesia,,"Selain menginjak warga, monster berbentuk gurita ini terlihat juga mencengkeram sejumlah sektor kehidupan rakyat seperti energi, pertanian, kebebasan berpendapat, kehidupan masyarakat adat, serta pelemahan terhadap KPK.  https://t.co/nK3goyErfk",in,[],[],['https://pbs.twimg.com/media/FA50U1xVgAc0jTa.jpg'],1,10,35,[],[],https://twitter.com/GreenpeaceID/status/1445220435193257993,False,,1,https://pbs.twimg.com/media/FA50U1xVgAc0jTa.jpg,,,,,,,[],,,,
1445203000482435074,1445203000482435074,2021-10-05 01:43:40 UTC,2021-10-05,01:43:40,+0000,1321595677458141185,edaz41135296,eyang kakung,,KPK LEMAH TUU..gara gara sapa,in,[],[],[],0,0,0,[],[],https://twitter.com/edaz41135296/status/1445203000482435074,False,https://twitter.com/rmol_id/status/1445191547373244420,0,,,,,,,,[],,,,
1445199539577626624,1445198857847992322,2021-10-05 01:29:55 UTC,2021-10-05,01:29:55,+0000,1150594673477480448,randyelred,Elred Randy Satria,,@Dennysiregar7 @KPK_RI Nah kan kebongkar jg busuknya kpk RI. Mana kmrn yg demo dibilang pelemahan. Emang uda lemah dr dulu. Bru demo. Itu yg gk lolos TWK tau 8 orang ini gk. Tp tau jg pasti sesama tmn gk berani,in,[],[],[],0,0,5,[],[],https://twitter.com/RandyElred/status/1445199539577626624,False,,0,,,,,,,,"[{'screen_name': 'Dennysiregar7', 'name': 'Denny siregar', 'id': '4780649298'}, {'screen_name': 'KPK_RI', 'name': 'KPK', 'id': '104714478'}]",,,,
1445191723106254848,1444907686512902146,2021-10-05 00:58:51 UTC,2021-10-05,00:58:51,+0000,1300740601646702594,erwien28651953,Erwien,,"@nazaqistsha Anda lagi framing juga kan,seolah olah anda paling hebat di KPK,seolah olah tanpa anda KPK lemah  😆😆😆😆😆😆setali tiga uang vel..",in,[],[],[],0,0,0,[],[],https://twitter.com/Erwien28651953/status/1445191723106254848,False,,0,,,,,,,,"[{'screen_name': 'nazaqistsha', 'name': 'novel baswedan', 'id': '139081308'}]",,,,
1445114970526531600,1444508119325839364,2021-10-04 19:53:52 UTC,2021-10-04,19:53:52,+0000,403994949,hilalsafari,Hilal Safary°,,@tatakhoiriyah faktanya memang KPK banyak madrunnya.  gak lolos TWK bukan krn kadrun tapi lemah dlm kesadaran berbangsa..,in,[],[],[],0,0,0,[],[],https://twitter.com/HilalSafari/status/1445114970526531600,False,,0,,,,,,,,"[{'screen_name': 'tatakhoiriyah', 'name': 'tata khoiriyah', 'id': '219932683'}]",,,,
1445044334932361216,1445036300193517568,2021-10-04 15:13:11 UTC,2021-10-04,15:13:11,+0000,1210542766515572737,mangomo9,Mangomo,,"@jaya_pancasila NB selalu membentuk opini dia hebat, bersih, tanpa dia KPK lemah, padahal dia punya kasus penyiksaan, dia membangun jaringan di internal KPK &amp; ke external agar dia bisa berbuat semaunya, ternyata Tuhan melindungi bangsa &amp; negara ini, NB dikick out dari KPK, anies bisa diperiksa.",in,[],[],[],0,0,6,[],[],https://twitter.com/Mangomo9/status/1445044334932361216,False,,0,,,,,,,,"[{'screen_name': 'jaya_pancasila', 'name': 'Jinggaviolet', 'id': '1323890136539525123'}]",,,,
1445028926502227975,1445028926502227975,2021-10-04 14:11:58 UTC,2021-10-04,14:11:58,+0000,4146240312,embah72,Abah,,"Kemarin KPK habis""an dikuasai kelompok Taliban hingga terkesan lemah. Akankan hal itu terjadi ditubuh Polri ?  ""Eks Pegawai KPK Siap Berdiskusi dengan Polri....""  https://t.co/kAEnKPT8hh",in,[],['https://www.beritasatu.com/nasional/836611/eks-pegawai-kpk-siap-berdiskusi-dengan-polri'],[],0,1,1,[],[],https://twitter.com/embah72/status/1445028926502227975,False,,0,,,,,,,,[],,,,
1444997592572596231,1444997592572596231,2021-10-04 12:07:27 UTC,2021-10-04,12:07:27,+0000,1027890075319689216,infoviralnewsid,I N F O V I R A L 🆕️™️,,Saya Vs Oligarki.   Aksi ini merupakan bagian dari aksi massa serentak dalam rangka pekan perlawanan.  Momentum ini bermula dari penolakan terhadap UU KPK yang dianggap merupakan pelemahan terhadap institusi antikorupsi tersebut.   #SayaVsOligarki  #MosiTidakPercaya  https://t.co/cKk9QZXqE4,in,[],[],[],1,4,6,"['sayavsoligarki', 'mositidakpercaya']",[],https://twitter.com/infoviralnewsid/status/1444997592572596231,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1444997393599004672/pu/img/d5K7AcBw_Rah9B-_.jpg,,,,,,,[],,,,
1444993860854185986,1444964839378468865,2021-10-04 11:52:37 UTC,2021-10-04,11:52:37,+0000,1439792108043337731,zuanci,Zuanci Mahir,,@KaredokLeunca__ @KPK_RI Ternyata memang skrng Lemah. Gampang di susupi.,in,[],[],[],0,0,0,[],[],https://twitter.com/zuanci/status/1444993860854185986,False,,0,,,,,,,,"[{'screen_name': 'KaredokLeunca__', 'name': 'JEPRET.!! KARET NA 2,SEUHAH..!!🔥🔥', 'id': '1271319727751610385'}, {'screen_name': 'KPK_RI', 'name': 'KPK', 'id': '104714478'}]",,,,
1444955574777511936,1444928187675254791,2021-10-04 09:20:29 UTC,2021-10-04,09:20:29,+0000,796648037837742080,tugunkri,NKRI,,"@CNNIndonesia Pantes saja kpk makin lemah , ternyata ada oknum antek koruptor.",in,[],[],[],0,0,0,[],[],https://twitter.com/tugunkri/status/1444955574777511936,False,,0,,,,,,,,"[{'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]",,,,
