tweet_preprocessed,NETRAL,MENGUATKAN,MELEMAHKAN
mulai puluhan guru besar mahasiswa organisasi masyarakat sipil memberikan masukan potensi pelemahan kpk balik twk tidak direspons tiadaharitanparuwet tiadaharitanparuwet,0.0,0.0,1.0
korantempo kpkri ombudsmanri dprri aduh mau lapor yah,1.0,0.0,0.0
ferdinandhaean kpkri dprri onta lepas dr gurunsok tahu jadi presidenmikir ngkatw mmg dungu,1.0,0.0,0.0
moerdianto ferdinandhaean jokowi kapolri emg berkedudukan luar negeri sehingga tidak sama twk nya dengan kpk yang di indonesia menjawab asal sekenanya saja bongbingung,0.0,1.0,0.0
bosstemlen intansi sudah mengakui kerja jujur novel cs apa dengan kpkri rakyat semakin paham sekarang kendali koruptor kuat sekali,0.0,1.0,0.0
drama isu taliban hingga hti iringi pemecatan pegawai kpk covid meninggal oktober senin presiden jokowi harry potter keselek atlanta covid covid,1.0,0.0,0.0
revisi uu cukup melemahkan kpk pegawai loyal kpk dipecat akhrnya lucunya negeri komisi pemberantasan korupsi bahkan dikebiri,0.0,0.0,1.0
cnnindonesia habis disingkirkan sama saja bohong pak lagian yang bukan minta dikasi kerjaan yang benar benahi kpk buktikan penguatan kpk pimpinan kpk yang harusnya disingkirkan,0.0,1.0,0.0
firyanwien sjatss pengarangsajak revisi uu kpk merubah kewenangan penanganan kasus yang ditangani institusi lainnya,0.0,0.0,1.0
bknmuslimegois ridanulantary wanheartn dynitri cahmbanjar arpangeran seruanhl hnurwahid geiszchalifah tofatofaid musniumar reflyhz oposisicerdas maspiyuaja rockygerungrg galamedianews hmsoeharto sbyudhoyono nenowarisman ramlirizal bemsi msaiddidu pakjk nurmantyogatot nazaqistsha kpkri aniesbaswedan agusyudhoyono edhiebaskoro mardanialisera tniad jokowi fadlizon nataliuspigai harisazhar pksejahtera pdemokrat faisalbasri tvonenews hahaha kuat malu cuma mukidi gak cuma kuat malu kuat kibulnya,1.0,0.0,0.0
mamansupratman febridiansyah dennysiregar yang lebih parah gak fitnah gak bahagia orang yang memang hobby fitnah terlepas dia dapat keuntungan materiil tidak takutnya orang model gini yang sekarang getol fitnah kpk,0.0,1.0,0.0
mengherankan kalau novel sebagian kawan lainnya lolos twk tidak menguasai wawasan kebangsaan menyeluruh,0.0,1.0,0.0
